-39.53,48.12,277.74
-37.25,47.82,276.96
-35.70,47.64,276.30
-33.36,47.39,275.87
-31.92,47.25,275.48
-29.75,47.07,273.12
-29.64,47.06,271.51
-29.86,47.07,273.50
-29.87,47.07,273.27
-29.83,47.07,271.95
-29.90,47.07,272.55
-29.89,47.07,272.55
-29.89,47.07,272.49
-29.89,47.07,272.45
-29.89,47.07,272.46
-29.89,47.07,272.44
-29.89,47.07,272.43
-29.89,47.07,272.43
-29.89,47.07,272.42
-29.89,47.07,272.40
-29.89,47.07,272.40
-29.89,47.07,272.39
-29.89,47.07,272.38
-28.00,46.80,272.33
-28.41,46.81,271.58
-28.78,46.82,270.38
-29.53,46.82,269.51
-30.36,46.81,268.85
-31.74,46.77,268.26
-32.85,46.73,267.75
-34.88,46.64,267.20
-36.38,46.56,266.88
-38.86,46.43,266.94
-40.67,46.33,267.05
-43.60,46.19,267.14
-45.52,46.09,267.16
-48.45,45.95,267.18
-50.21,45.86,267.19
-52.68,45.74,267.11
-54.00,45.68,268.63
-55.91,45.67,270.60
-56.26,45.68,271.36
-55.99,45.67,270.24
-55.84,45.67,269.92
-55.98,45.67,270.05
-56.03,45.67,270.07
-56.02,45.67,270.04
-56.01,45.67,270.03
-56.02,45.67,270.04
-56.02,45.67,270.02
-56.02,45.67,269.97
-56.02,45.67,269.97
-56.01,45.67,270.01
-55.72,45.67,270.04
-54.93,45.67,270.05
-54.40,45.67,269.82
-53.31,45.67,269.97
-52.55,45.66,272.70
-51.68,45.57,279.28
-51.18,45.45,288.66
-50.58,45.19,299.15
-50.23,44.95,308.88
-49.72,44.48,315.55
-49.30,44.01,318.86
-48.48,43.05,320.57
-47.90,42.34,320.10
-46.90,41.18,318.51
-46.21,40.42,316.58
-45.02,39.21,314.89
-44.03,38.24,314.10
-42.37,36.64,313.94
-41.12,35.41,314.59
-39.08,33.39,314.98
-37.56,31.88,314.80
-35.17,29.50,314.87
-33.47,27.80,314.74
-30.85,25.20,314.98
-28.16,22.51,315.02
-26.28,20.64,314.83
-23.36,17.74,314.81
-21.49,15.88,314.63
-18.48,12.93,314.33
-16.51,11.01,314.24
-13.77,8.32,314.78
-12.31,6.85,314.84
-10.81,5.38,314.42
-10.48,5.06,314.11
-10.89,5.47,317.09
-11.18,5.81,321.39
-11.64,6.44,325.62
-11.88,6.80,327.12
-11.99,6.97,327.34
-11.97,6.94,327.31
-11.89,6.82,326.97
-11.80,6.69,326.43
-11.57,6.33,325.67
-11.40,6.09,324.29
-11.20,5.83,322.24
-11.13,5.73,320.38
-11.07,5.67,319.48
-11.06,5.66,319.34
-11.06,5.66,319.34
-11.06,5.66,319.32
-11.06,5.66,319.30
-11.06,5.66,319.29
-11.06,5.66,319.29
-11.06,5.66,319.28
-11.06,5.66,319.25
-11.06,5.66,319.24
-11.06,5.66,319.22
-11.06,5.65,319.23
-11.10,5.70,319.21
-11.25,5.87,319.23
-11.46,6.12,319.30
-11.55,6.22,319.29
-11.63,6.31,319.18
-11.63,6.32,319.15
-11.63,6.32,319.10
-11.63,6.32,319.10
-11.63,6.32,319.08
-11.63,6.32,319.07
-11.63,6.32,319.08
-11.63,6.32,319.07
-11.63,6.32,319.07
-11.63,6.32,319.07
-11.63,6.32,319.07
-11.63,6.32,319.07
-11.63,6.32,319.07
-11.63,6.32,319.07
