39.93,51.75,60.46
38.80,51.12,61.71
37.17,50.28,63.49
36.05,49.75,66.24
34.80,49.25,71.56
34.22,49.10,80.13
33.62,49.04,88.57
33.40,49.04,91.17
32.85,49.05,89.99
32.15,49.04,89.30
31.27,49.04,91.70
30.73,49.08,96.64
30.04,49.19,100.95
30.09,49.18,99.66
30.03,49.19,99.23
30.10,49.17,99.57
30.08,49.18,99.17
30.05,49.18,99.04
30.07,49.18,99.05
30.06,49.18,99.01
30.06,49.18,98.99
30.06,49.18,98.95
30.06,49.18,98.93
30.06,49.18,98.91
30.06,49.18,98.90
30.06,49.18,98.89
30.06,49.18,98.87
30.06,49.18,98.87
30.06,49.18,98.86
30.06,49.18,98.86
30.06,49.18,98.84
30.06,49.18,98.83
30.06,49.18,98.83
30.06,49.18,98.82
30.06,49.18,98.82
30.06,49.18,98.81
30.06,49.18,98.80
30.06,49.18,98.80
30.05,49.18,98.77
30.06,49.18,98.77
30.06,49.18,98.77
30.06,49.18,98.78
30.06,49.18,98.77
30.06,49.18,98.77
30.06,49.18,98.77
30.06,49.18,98.77
30.06,49.18,98.78
30.06,49.18,98.77
30.06,49.18,98.76
30.06,49.18,98.76
30.06,49.18,98.77
30.06,49.18,98.77
30.06,49.18,98.78
30.06,49.18,98.77
30.06,49.18,98.77
30.06,49.18,98.77
30.15,49.17,98.97
28.00,46.80,99.05
28.00,46.80,99.05
28.00,46.80,99.05
28.03,46.79,98.91
28.77,46.68,98.55
29.55,46.57,98.07
31.17,46.34,97.68
32.54,46.16,97.24
34.88,45.89,96.33
36.53,45.72,94.94
39.20,45.54,92.71
40.99,45.50,90.06
43.58,45.58,86.00
45.14,45.75,82.03
47.49,46.15,78.64
48.97,46.47,77.76
50.33,46.73,81.66
50.81,46.78,87.93
51.60,46.77,92.04
51.95,46.75,94.08
52.50,46.71,95.01
52.89,46.67,95.44
53.54,46.60,96.10
54.08,46.54,96.76
55.02,46.43,96.87
55.34,46.39,95.91
55.26,46.40,96.12
55.26,46.40,96.03
55.26,46.40,96.06
55.25,46.40,96.06
55.25,46.40,96.04
55.25,46.40,96.05
55.24,46.40,96.07
55.24,46.40,96.06
